shop_name,id,closest_mrt,distance_to_mrt
就飲 JOYING-中正必喝飲品|推薦手搖|特色茶飲|手搖飲推薦|在地推薦飲料店|平價飲料|高cp飲料,ChIJbxLbjWapQjQRPn0fU1SBEFs,中正紀念堂站出口6,238.55799060631242
Kebuke Xinzhuang Huacheng,ChIJCVRmbpSpQjQRdY0EzYdNgIs,幸福站出口2,573.1330551842623
北投紅茶土城延吉店,ChIJo9f1CwADaDQRzBSTE-srEu0,海山站出口3,1799.2792018250084
功夫茶 KUNGFUTEA 汐止新興店,ChIJPfOoo8RTXTQRZEXMkjPC-MA,南港展覽館站出口4,3993.5732379070178
吳伍 Wu-Wu,ChIJuUiuL9urQjQRX4Pp5WSfoXU,台北101/世貿站出口2,134.7994021187978
Nap Tea Taipei Jinzhou,ChIJR67X44SrQjQRjiRqgCV9LLQ,中山國中站出口,118.62073318612342
天仁茗茶 誠品生活新店裕隆城,ChIJn7e6920BaDQRfdk4E9mC5fo,七張站出口2,412.06052683172976
Ten Ren's Tea,ChIJgR5ZhLyuQjQRwDnxrw54INI,士林站出口1,289.2268498156016
Kebuke,ChIJDV9qR1KpQjQRtyzg04GTHP8,江子翠站出口5,399.87857646222784
功夫茶 KUNGFUTEA 新店中正店,ChIJeTjeMywBaDQR16Cd11C-vMg,新店區公所站出口2,365.5909019638552
Dejeng Oolong Tea #Taipei Guting Project,ChIJ4_npl76pQjQReIFya8kXfn4,古亭站出口5,14.504368434636552
Co Co,ChIJI0WkFRGoQjQRNci_hiSp_s0,新埔站出口1,637.1655909173177
功夫茶 KUNGFUTEA 中和中和店,ChIJxVqSimupQjQRkKfUvEmkaws,中和站出口,568.3490264729746
綠蓋茶‧館,ChIJH8yutaSuQjQR8FakzmEclFk,士林站出口2,88.94652788679232
Ching Shin Fu Chuan Tea Station,ChIJ8VGlOYgBaDQRCYU_OuOF7xs,新店站出口,259.7143500207379
旺月捌手作飲品-古亭店,ChIJjZeOVlCpQjQRhu2W6pL9P24,古亭站出口3,42.58668985899024
50 Lan Jiantan shop,ChIJ4Q90_rKuQjQRtnmXT3YRrKU,劍潭站出口2,329.9390463721724
Ten Ren's Tea,ChIJPe1tPFqlQjQRbuoxi2n0TDo,淡水站出口1,723.04048348768
山焙 SUNBAY - 和平臥龍＿烘焙萃取製茶所,ChIJ12S-IJirQjQR9ZA3vfq039M,科技大樓站出口,319.43385605330764
中和珍珠奶茶,ChIJxY3VftepQjQRI-Q-8Cml7nI,中和站出口,603.5655828657207
Tea Tank,ChIJrcwNhoWpQjQReWlu-uSuGZE,台電大樓站出口3,370.49832729501804
清心福全新莊四維店-珍珠奶茶手搖飲料專賣店,ChIJYySSPaynQjQRvGd931KZ9Cw,迴龍站出口3,875.7823251807994
錨起來喝(台北雙連店),ChIJEZ45t_GpQjQRvAX0FREsNyA,雙連站出口1,269.88825267793385
功夫茶 KUNGFUTEA 台北小巨蛋店,ChIJtc4kD4mrQjQRu041tTKv3uA,台北小巨蛋站出口4,161.8013802589757
三分春色 台北小巨蛋店,ChIJTzthtySrQjQRmO50JUMRxlY,台北小巨蛋站出口2,74.18263218596266
